Month,Max Temp (°F),Min Temp (°F),Mean Temp (°F),Precipitation (in),Heating Degree Days,Cooling Degree Days
"19080201February, 1908",22.9,14.2,31.7,1.64,"1,180",
"19080101January, 1908",23.2,12.5,33.8,0.45,"1,295",
"19071201December, 1907",27.1,18.7,35.5,0.98,"1,170",
"19071101November, 1907",35.1,24.9,45.3,1.01,897,
"19071001October, 1907",49,36.3,61.7,1.54,500,1
"19070901September, 1907",61.9,50.4,73.3,2.86,140,46
"19070801August, 1907",70.3,59,81.5,4.36,29,190
"19070701July, 1907",73.4,62.5,84.2,7.1,10,271
"19070601June, 1907",66.1,55.2,76.9,5.26,75,104
"19070501May, 1907",52.7,40,65.3,3.59,393,11
"19070401April, 1907",40.6,28.9,52.3,1.3,725,
"19070301March, 1907",39.6,29.1,50.2,1.34,778,2
"19070201February, 1907",23.7,13.7,33.8,0.73,"1,159",
"19070101January, 1907",17.2,8.9,25.5,1.53,"1,464",
"19061201December, 1906",24.7,16.5,32.9,1.45,"1,247",
"19061101November, 1906",33.7,25.7,41.8,2.06,936,
"19061001October, 1906",49.5,37.7,61.3,1.94,477,1
"19060901September, 1906",66.3,54.6,78,4.14,63,114
"19060801August, 1906",73.5,62.3,84.7,3.97,11,280
"19060701July, 1906",70.6,58,83.2,3.18,22,201
"19060601June, 1906",67.5,55.2,79.8,3.78,53,133
"19060501May, 1906",60.3,47.9,72.8,3.42,199,57
"19060401April, 1906",51.5,39.1,63.9,2.42,408,3
"19060301March, 1906",26.1,18.2,34,2.32,"1,198",
"19060201February, 1906",22.3,11.1,33.4,1.28,"1,203",
"19060101January, 1906",23.6,14.2,33.2,1.54,"1,287",
"19051201December, 1905",25.4,15.4,35.4,0.54,"1,231",
"19051101November, 1905",37,26.4,47.7,2.91,841,
"19051001October, 1905",48.3,37.4,59.1,3.32,509,1
"19050901September, 1905",65,54.1,76,3.56,84,88
"19050801August, 1905",73.7,62.2,85.1,4.05,11,279
"19050701July, 1905",70.2,59.5,80.9,3.12,24,189
"19050601June, 1905",69.5,58.2,80.8,5.01,33,172
"19050501May, 1905",57.8,46,69.7,6.09,249,36
"19050401April, 1905",46.7,34.7,58.7,2.93,542,
"19050301March, 1905",40.3,30.1,50.5,2.08,772,2
"19050201February, 1905",11.7,0.7,22.8,1.54,"1,493",
"19050101January, 1905",9.4,-0.4,19.2,0.97,"1,716",
"19041201December, 1904",21.6,11.6,31.5,1.38,"1,348",
"19041101November, 1904",39.2,26.9,51.6,0.16,776,
"19041001October, 1904",51.8,40.4,63.2,1.7,414,6
"19040901September, 1904",63.1,51.6,74.6,2.84,114,63
"19040801August, 1904",68.3,56.1,80.6,3.41,47,149
"19040701July, 1904",70.2,59,81.4,4.28,25,189
"19040601June, 1904",66.7,55.4,78.1,3.3,62,119
"19040501May, 1904",59.2,47,71.4,3.59,221,45
"19040401April, 1904",43.2,31.7,54.8,3.41,647,
"19040301March, 1904",33.7,24.3,43.1,2.17,968,
"19040201February, 1904",13.5,2.7,24.2,0.51,"1,443",
"19040101January, 1904",12.7,3.5,21.9,1.19,"1,624",
"19031201December, 1903",18.1,7.3,28.8,0.41,"1,465",
"19031101November, 1903",32.9,23.4,42.3,0.52,967,
"19031001October, 1903",51.1,38.8,63.4,1.93,436,4
"19030901September, 1903",60.1,48.8,71.4,3.72,172,30
"19030801August, 1903",68.4,58.1,78.8,6.4,45,155
"19030701July, 1903",72.4,61.2,83.6,5.23,13,247
"19030601June, 1903",64.1,52.8,75.3,2.94,103,74
"19030501May, 1903",61.2,50.7,71.6,8.55,177,69
"19030401April, 1903",49,37.2,60.8,2.98,472,
"19030301March, 1903",37.9,28.1,47.7,1.38,821,
"19030201February, 1903",18.6,8.4,28.8,1.12,"1,286",
"19030101January, 1903",21.1,12.4,29.9,0.25,"1,360",
"19021201December, 1902",18.4,10.4,26.6,2.16,"1,430",
"19021101November, 1902",39.5,30.7,48.4,2.07,741,
"19021001October, 1902",52.4,40.6,64.2,2.33,396,7
"19020901September, 1902",58.2,47.1,69.3,4.46,218,17
"19020801August, 1902",68.4,58.4,78.4,6.72,47,149
"19020701July, 1902",72.6,62,83.2,8.63,12,251
"19020601June, 1902",64.7,54.3,75.2,7.13,93,85
"19020501May, 1902",63.2,51.8,74.7,5.54,144,95
"19020401April, 1902",47.2,33.7,60.8,1.74,529,
"19020301March, 1902",37.8,27.9,47.7,1.44,839,
"19020201February, 1902",16.1,6,26.3,0.68,"1,377",
"19020101January, 1902",20.6,10.4,30.8,0.89,"1,380",
"19011201December, 1901",18.6,10.5,26.8,0.95,"1,429",
"19011101November, 1901",34,22.4,45.6,0.83,934,
"19011001October, 1901",52.9,40.6,65.2,2.02,378,9
"19010901September, 1901",62.4,50.4,74.4,4.81,124,56
"19010801August, 1901",73.1,58.9,87.4,1.32,13,260
"19010701July, 1901",82,67.7,96.3,2.3,,527
"19010601June, 1901",71.7,59,84.4,3.8,18,226
"19010501May, 1901",60.2,47.4,72.9,2.39,200,55
"19010401April, 1901",49,36.8,61.1,1.81,480,
"19010301March, 1901",33.4,23.7,43,2.54,980,
"19010201February, 1901",16.2,5.8,26.6,1.02,"1,382",
"19010101January, 1901",21.9,12.3,31.5,0.71,"1,333",
"19001201December, 1900",25.4,16.8,34,0.44,"1,226",
"19001101November, 1900",32,23,41.1,1.06,982,
"19001001October, 1900",58.4,46.5,70.2,3.97,234,32
"19000901September, 1900",63.9,52.4,75.3,5.02,102,72
"19000801August, 1900",76.9,65.4,88.4,4.73,1,373
"19000701July, 1900",73.1,61.4,84.8,6.59,11,257
"19000601June, 1900",69,56.2,81.8,3.95,38,157
"19000501May, 1900",62.9,50.6,75.3,3.13,151,88
"19000401April, 1900",51.6,39.3,64,2.69,405,4
"19000301March, 1900",29.9,19.7,40.1,2.09,"1,093",
"19000201February, 1900",13.7,2.7,24.6,1.27,"1,426",
"19000101January, 1900",24.2,14.8,33.6,0.5,"1,262",
"18991201December, 1899",21,11.9,30,1.59,"1,361",
"18991101November, 1899",42.6,31.7,53.4,1.19,669,
"18991001October, 1899",55.6,42.3,69,1.83,301,19
"18990901September, 1899",61.7,48.3,75.1,0.96,142,44
"18990801August, 1899",73.5,61.5,85.4,3.54,11,274
"18990701July, 1899",72.5,60.2,84.7,3.1,12,246
"18990601June, 1899",70.1,59,81.3,5.17,28,187
"18990501May, 1899",59.6,48.1,71.1,6.04,211,50
"18990401April, 1899",48,35.5,60.4,2.37,501,
"18990301March, 1899",23.4,14.5,32.2,1.58,"1,263",
"18990201February, 1899",11.2,0.4,21.9,0.84,"1,488",
"18990101January, 1899",18.2,7.9,28.5,0.25,"1,443",
"18981201December, 1898",16.8,7.4,26.1,0.46,"1,483",
"18981101November, 1898",30.8,20,41.8,1.46,"1,013",
"18981001October, 1898",46.5,36.8,56.2,3.58,565,
"18980901September, 1898",64.5,51.9,77,2.62,91,82
"18980801August, 1898",71.4,59.2,83.5,3.39,22,216
"18980701July, 1898",72.9,59.8,85.9,2.68,11,261
"18980601June, 1898",70.8,60.1,81.5,4.4,23,201
"18980501May, 1898",59,48,70,4.47,224,44
"18980401April, 1898",47,34.6,59.4,2.47,537,
"18980301March, 1898",36.5,25.4,47.6,1.86,874,
"18980201February, 1898",22.6,13,32.1,1.14,"1,188",
"18980101January, 1898",21.7,12.9,30.5,1.56,"1,342",
"18971201December, 1897",16,7.3,24.8,1.62,"1,513",
"18971101November, 1897",32.6,20.8,44.4,0.63,963,
"18971001October, 1897",55.4,42.1,68.6,1.02,309,17
"18970901September, 1897",70,55.7,84.3,1.97,30,174
"18970801August, 1897",68,55.8,80.3,2.05,48,150
"18970701July, 1897",75,62.9,87.2,3.17,4,322
"18970601June, 1897",68.2,56.5,79.9,3.9,46,147
"18970501May, 1897",57.8,44.6,71.1,1.89,252,35
"18970401April, 1897",47,36.8,57.1,4.96,535,
"18970301March, 1897",30.4,21.5,39.3,2.29,"1,053",
"18970201February, 1897",23.4,15.1,31.7,0.88,"1,152",
"18970101January, 1897",15,6.4,23.6,1.85,"1,537",
"18961201December, 1896",29.1,21.4,36.9,0.64,"1,104",
"18961101November, 1896",27.3,17.4,37.2,2.01,"1,101",
"18961001October, 1896",46.6,33.9,59.4,3.21,566,
"18960901September, 1896",57.4,46.3,68.5,3.97,240,14
"18960801August, 1896",70.9,59.2,82.7,3.41,23,208
"18960701July, 1896",72.3,60.2,84.4,6.59,13,243
"18960601June, 1896",69.5,57,82,3.27,32,174
"18960501May, 1896",65.2,53.8,76.6,6.47,108,129
"18960401April, 1896",53.5,41.3,65.7,5.04,339,10
"18960301March, 1896",29.4,18.4,40.3,1.09,"1,089",
"18960201February, 1896",26,15.8,36.1,0.6,"1,100",
"18960101January, 1896",21.6,11.8,31.3,0.48,"1,342",
"18951201December, 1895",23.6,15.2,32,1.45,"1,273",
"18951101November, 1895",32.4,22.7,42.1,1.48,971,
"18951001October, 1895",44.6,30.6,58.6,0.48,633,
"18950901September, 1895",66.8,54.1,79.4,3.12,59,118
"18950801August, 1895",71.8,58.6,84.9,4.42,18,235
"18950701July, 1895",71.6,58.1,85.1,3.25,16,225
"18950601June, 1895",69.3,56.6,81.9,4.18,33,175
"18950501May, 1895",61,48,73.9,3.2,184,65
"18950401April, 1895",53.1,39.6,66.7,2.56,369,7
"18950301March, 1895",33.4,20.2,46.5,0.81,977,
"18950201February, 1895",14.6,2.9,26.2,0.52,"1,418",
"18950101January, 1895",11.2,0.1,22.3,0.86,"1,664",
