Month,Max Temp (°F),Min Temp (°F),Mean Temp (°F),Precipitation (in),Heating Degree Days,Cooling Degree Days
"20020401April, 2002",48.9,37.4,60.3,3.62,485,
"20020301March, 2002",31,20.5,41.6,1.16,"1,034",
"20020201February, 2002",29.8,19.9,39.7,0.89,980,
"20020101January, 2002",28.6,18.4,38.8,0.4,"1,114",
"20011201December, 2001",30.7,21.8,39.7,0.83,"1,055",
"20011101November, 2001",48,36.9,59,1.55,510,2
"20011001October, 2001",50.2,38.7,61.7,2.46,463,1
"20010901September, 2001",61.2,50.1,72.3,4.07,152,38
"20010801August, 2001",72.5,61.5,83.5,2.97,15,249
"20010701July, 2001",75.1,64.7,85.4,3.12,4,316
"20010601June, 2001",68.3,57.7,78.9,4.07,46,142
"20010501May, 2001",60.9,50.8,71.1,7.04,184,64
"20010401April, 2001",52.7,40.3,65.1,3.6,365,7
"20010301March, 2001",30.2,22,38.4,1.3,"1,071",
"20010201February, 2001",18.1,9.2,26.9,2.16,"1,297",
"20010101January, 2001",20.8,12.5,29.1,1.42,"1,369",
"20001201December, 2000",10,1.4,18.6,1.67,"1,697",
"20001101November, 2000",32.2,24,40.4,2.15,965,
"20001001October, 2000",54.8,43.4,66.2,1.8,324,15
"20000901September, 2000",64.6,51.3,78,2.11,90,84
"20000801August, 2000",72.7,62.5,83,2.62,15,251
"20000701July, 2000",72.2,62.6,81.8,4.09,14,232
"20000601June, 2000",67.7,56.7,78.7,6.56,52,133
"20000501May, 2000",62.8,50.7,74.9,3.6,155,85
"20000401April, 2000",49.4,36.6,62.2,2.03,465,
"20000301March, 2000",43.1,31.5,54.6,1,682,8
"20000201February, 2000",32.5,23,42,1.37,913,
"20000101January, 2000",21.6,11.8,31.5,0.73,"1,347",
"19991201December, 1999",27,17,37,0.71,"1,182",
"19991101November, 1999",44.3,31.4,57,1.02,623,
"19991001October, 1999",50.9,36.8,64.9,0.77,439,4
"19990901September, 1999",61.3,48.1,74.6,1.84,148,39
"19990801August, 1999",70,59.3,80.6,3.11,31,183
"19990701July, 1999",76.8,66.3,87.3,5.21,1,372
"19990601June, 1999",68.9,59,78.7,5.29,37,161
"19990501May, 1999",60.5,50.2,70.8,4.89,192,60
"19990401April, 1999",50,40.3,59.7,6.26,444,
"19990301March, 1999",36.3,25.6,47,0.98,894,
"19990201February, 1999",32.9,24.7,41.1,0.91,892,
"19990101January, 1999",17,9.1,25,1.29,"1,487",
"19981201December, 1998",29.4,19.2,39.5,0.42,"1,096",
"19981101November, 1998",40.7,31.9,49.6,1.61,723,
"19981001October, 1998",53.1,42.7,63.5,4.83,380,9
"19980901September, 1998",68.2,55.7,80.8,2.06,46,139
"19980801August, 1998",72.9,63.4,82.4,5.01,13,260
"19980701July, 1998",73.8,63.7,83.9,3.16,8,282
"19980601June, 1998",67.1,57.4,76.8,7.91,58,125
"19980501May, 1998",65,53.8,76.3,4.3,116,120
"19980401April, 1998",49.7,39.6,59.8,3.94,457,
"19980301March, 1998",32.8,25.6,40,3.65,976,
"19980201February, 1998",34.8,28.5,41.2,1.63,833,
"19980101January, 1998",23.5,16.8,30.2,1.05,"1,279",
"19971201December, 1997",27.4,21.6,33.3,1,"1,163",
"19971101November, 1997",32.9,25.6,40.2,1.02,952,
"19971001October, 1997",52.1,40.4,63.8,3.37,408,6
"19970901September, 1997",64.2,52.6,75.8,3.11,99,75
"19970801August, 1997",69.5,59.1,79.8,2.76,36,172
"19970701July, 1997",73.4,63,83.7,2.95,10,267
"19970601June, 1997",70.4,58.7,82.2,4.38,27,187
"19970501May, 1997",54.2,42.3,66.2,4.03,348,15
"19970401April, 1997",44.3,33.1,55.5,2.63,613,
"19970301March, 1997",37.2,26.4,47.9,1.32,853,
"19970201February, 1997",25,17.5,32.5,1.68,"1,109",
"19970101January, 1997",14.6,5.2,23.9,0.96,"1,556",
"19961201December, 1996",19.6,12.2,27.1,0.87,"1,385",
"19961101November, 1996",29,21.7,36.4,2.65,"1,071",
"19961001October, 1996",51.7,39.6,63.7,2.74,416,6
"19960901September, 1996",60.7,49.9,71.5,2.88,157,35
"19960801August, 1996",70,59.4,80.5,3.79,29,189
"19960701July, 1996",70.5,59.8,81.2,3.2,23,196
"19960601June, 1996",69.5,59.4,79.6,5.07,34,166
"19960501May, 1996",56.4,47.3,65.5,7.34,291,25
"19960401April, 1996",45.7,33,58.5,1.63,574,
"19960301March, 1996",29.9,18.4,41.5,1.38,"1,081",
"19960201February, 1996",23.2,13.7,32.8,0.27,"1,176",
"19960101January, 1996",15.8,6.2,25.3,1.84,"1,512",
"19951201December, 1995",23.9,16.5,31.3,0.4,"1,276",
"19951101November, 1995",30.3,20.7,39.8,1.7,"1,041",
"19951001October, 1995",50.7,39.4,61.9,2,442,4
"19950901September, 1995",60.2,48.4,72.1,2.96,171,30
"19950801August, 1995",76.2,66.2,86.3,3.52,2,360
"19950701July, 1995",73.9,62.7,85,3.46,8,285
"19950601June, 1995",69.9,59.7,80,3.73,28,183
"19950501May, 1995",56.5,46.3,66.7,5.88,281,26
"19950401April, 1995",44.8,34.2,55.3,4.9,602,
"19950301March, 1995",37,27.5,46.6,2.57,856,
"19950201February, 1995",25.4,15.8,35,0.32,"1,114",
"19950101January, 1995",18.3,11,25.6,0.82,"1,449",
"19941201December, 1994",27,19.3,34.7,1.19,"1,161",
"19941101November, 1994",39.4,30.2,48.7,2.21,757,
"19941001October, 1994",53.5,42.8,64.1,1.93,362,11
"19940901September, 1994",64.3,52.8,75.8,3.58,97,76
"19940801August, 1994",68.6,57.4,79.7,3.62,45,154
"19940701July, 1994",70.3,59.8,80.8,3.89,23,193
"19940601June, 1994",70.9,60.3,81.4,6.23,23,199
"19940501May, 1994",60.6,47.7,73.5,2.05,200,56
"19940401April, 1994",49.2,36.3,62.2,2.41,467,
"19940301March, 1994",38,26.4,49.5,0.2,840,
"19940201February, 1994",17.2,7.5,27,1.18,"1,334",
"19940101January, 1994",10.5,1.4,19.6,1.06,"1,690",
"19931201December, 1993",25.5,17.7,33.4,0.76,"1,214",
"19931101November, 1993",33.8,24.7,42.9,1.09,922,
"19931001October, 1993",49.2,38.1,60.2,1.31,486,1
"19930901September, 1993",57.4,47.2,67.5,3.69,239,14
"19930801August, 1993",71.6,62.2,80.9,8.25,20,225
"19930701July, 1993",71.9,63.5,80.3,10.45,15,231
"19930601June, 1993",66.9,56.8,77,8,62,120
"19930501May, 1993",59.2,49,69.4,5.6,217,48
"19930401April, 1993",45,34.9,55.1,3.65,599,
"19930301March, 1993",31,23.2,38.9,2.75,"1,045",
"19930201February, 1993",18.9,12,25.8,1.15,"1,278",
"19930101January, 1993",17.6,9.1,26,1.18,"1,453",
"19921201December, 1992",24,16.4,31.5,1.78,"1,269",
"19921101November, 1992",33,27.5,38.5,4.38,952,
"19921001October, 1992",50.6,38.6,62.6,1.63,450,3
"19920901September, 1992",60.8,49.4,72.1,5.58,162,34
"19920801August, 1992",65.7,54.8,76.6,2.55,81,103
"19920701July, 1992",68.3,59,77.6,8.55,42,150
"19920601June, 1992",67.4,55.1,79.8,1.89,53,131
"19920501May, 1992",60.1,47.2,73,1.75,204,53
"19920401April, 1992",46,35.7,56.4,3.6,563,
"19920301March, 1992",39,28.9,49.1,2.21,808,1
"19920201February, 1992",32,24.7,39.4,1.29,922,
"19920101January, 1992",27.2,18.9,35.4,1,"1,181",
"19911201December, 1991",27.1,19.2,35,1.48,"1,170",
"19911101November, 1991",28.2,20.1,36.3,4.36,"1,087",
"19911001October, 1991",49.7,37.6,61.9,2.92,469,1
"19910901September, 1991",62.4,50.4,74.3,2.79,130,53
"19910801August, 1991",71.6,60.6,82.6,3.45,19,227
"19910701July, 1991",73.6,62.4,84.7,2.32,8,281
"19910601June, 1991",73,62.7,83.4,4.14,12,257
"19910501May, 1991",64.2,54.7,73.6,5.19,128,109
"19910401April, 1991",51.4,40.8,62.1,5.83,410,2
"19910301March, 1991",39.2,28.3,50.1,4.19,796,1
"19910201February, 1991",29.2,19.4,39.1,0.3,"1,006",
"19910101January, 1991",13.4,4,22.8,0.77,"1,595",
"19901201December, 1990",19.8,10.6,29,1.5,"1,388",
"19901101November, 1990",41.2,30.1,52.3,1.65,703,
"19901001October, 1990",50.4,37.6,63.3,1.88,454,3
"19900901September, 1990",66.2,54.4,77.9,1.39,71,103
"19900801August, 1990",71.7,61.7,81.8,4.32,19,226
"19900701July, 1990",72.3,62.5,82,6.37,14,239
"19900601June, 1990",70.3,60,80.6,7.96,29,181
"19900501May, 1990",56.4,45.7,67.2,5.73,291,24
"19900401April, 1990",48.1,36.1,60.1,2.26,503,
"19900301March, 1990",39.6,29.8,49.5,4.3,778,1
"19900201February, 1990",27.8,17.2,38.4,0.67,"1,035",
